tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
bbc,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,9,313,31860,57411,13,0,2,0,80,0,0.0,36,0,0.0,50,0,0.0,0,0.0,50,30,2
bbc,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,3,342,30230,14218,4,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
bbc,GUAVA-85,com.google.common.base.CaseFormat,9,317,30879,1937,22,0,11,0,30,30,100.0,12,11,91.66667,15,15,100.0,15,100.0,0,30,2
bbc,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,1,326,29753,11431,13,0,2,0,26,26,100.0,22,21,95.454544,16,16,100.0,16,100.0,0,30,2
bbc,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,7,325,31631,22473,9,0,0,0,70,23,32.857143,28,10,35.714287,30,10,33.333336,10,33.333336,20,30,2
bbc,FASTJSON-19,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,5,317,32473,25407,37,0,0,0,68,38,55.88235,44,26,59.090908,9,0,0.0,0,0.0,9,30,2
bbc,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,6,323,35748,41214,160,0,59,0,518,418,80.69498,410,278,67.80488,19,0,0.0,0,0.0,19,30,2
bbc,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,9,328,35649,38881,141,0,41,0,518,411,79.34363,410,274,66.82927,20,0,0.0,0,0.0,20,30,2
bbc,FASTJSON-64,com.alibaba.fastjson.serializer.JSONSerializer,6,320,32860,56,102,1,0,0,185,0,0.0,108,0,0.0,128,0,0.0,0,0.0,128,30,2
bbc,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,6,329,29695,8314,65,0,2,0,78,76,97.4359,56,54,96.42857,93,91,97.849464,91,97.849464,2,30,2
